Subaru Outback,"$18700, 1557897сом","2015г.,2.5л.,вариатор,универсал,бензин,рульслева,138000км",https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg ; https://im.mashina.kg/tachka/images//4/5/a/45af3b0a2b7a9549cb9dcd7baf303ce2_240x180.jpg ; https://im.mashina.kg/tachka/images//8/3/a/83a3d0c750501944a9cf65b943185c3b_240x180.jpg ; https://im.mashina.kg/tachka/images//b/a/0/ba09a2e06ac8872414f64dd3f1a9dfd3_240x180.jpg
Mercedes-Benz G-класс AMG,"$70000, 5831700сом","2013г.,5.5л.,автомат,внедорожник5дв.,бензин,рульслева,170000км",https://im.mashina.kg/tachka/images//a/f/8/af811f0be4bec1e2bf9a806a81ee98c3_240x180.jpg ; https://im.mashina.kg/tachka/images//9/4/6/9469715ae1d471cda242b5753b595f1d_240x180.jpg ; https://im.mashina.kg/tachka/images//4/f/c/4fc3a0704370a369def55ae64b1bb8d9_240x180.jpg ; https://im.mashina.kg/tachka/images//2/0/b/20b08f14643417084820c9f97aba651e_240x180.jpg ; https://im.mashina.kg/tachka/images//8/1/4/814e953b2e780a124ded4c8b3d25ad84_240x180.jpg
Toyota Camry,"$27300, 2274363сом","2018г.,2.5л.,автомат,седан,бензин,рульслева,35000км",https://im.mashina.kg/tachka/images//a/c/e/ace28ec6632fc6bf39b0f54667487815_240x180.jpg ; https://im.mashina.kg/tachka/images//e/3/7/e3716353888f524975e64b2388436c81_240x180.jpg ; https://im.mashina.kg/tachka/images//f/1/e/f1eaa4465a49b16812c22732a2aee767_240x180.jpg ; https://im.mashina.kg/tachka/images//8/0/d/80da2512001e39b6b8fb296252eec4b2_240x180.jpg ; https://im.mashina.kg/tachka/images//5/0/c/50c7e0d48413bb35d1bec70d73677093_240x180.jpg
Toyota Avensis,"$7000, 583170сом","2004г.,1.8л.,механика,лифтбек,бензин,рульслева,250000км",https://im.mashina.kg/tachka/images//b/e/0/be0f0d9153780a4e8b83c343b3099675_240x180.jpg ; https://im.mashina.kg/tachka/images//3/7/6/376f2fc1454e6f466638d83052cfc4d1_240x180.jpg ; https://im.mashina.kg/tachka/images//3/5/9/35992d030d0a39b5fa5aede61dc97a53_240x180.jpg ; https://im.mashina.kg/tachka/images//f/b/7/fb7587bbaebc4c5eb676b417397c2196_240x180.jpg ; https://im.mashina.kg/tachka/images//3/6/d/36def0c0935883611e70340f4168b456_240x180.jpg
Nissan Skyline,"$5300, 441543сом","2003г.,3л.,автомат,седан,бензин,рульсправа,215000км",https://im.mashina.kg/tachka/images//e/5/c/e5cd26e69cc5f9387d9fa581ec253baf_240x180.jpg ; https://im.mashina.kg/tachka/images//5/f/9/5f9c7582055c8f3ad25e47a1345bfe3d_240x180.jpg ; https://im.mashina.kg/tachka/images//5/e/9/5e9e6613c65b65e85e12b69ce4865976_240x180.jpg ; https://im.mashina.kg/tachka/images//0/c/7/0c7c7f483e512441b7e3df2dddf2db00_240x180.jpg ; https://im.mashina.kg/tachka/images//4/8/2/48279c2e0a1799d15c7604347a53f0dd_240x180.jpg
Honda Fit,"$10800, 899748сом","2014г.,1.5л.,робот,хэтчбек5дв.,гибрид,рульсправа",https://im.mashina.kg/tachka/images//9/9/b/99b08fd3a5192d89b3add376063ed999_240x180.jpg ; https://im.mashina.kg/tachka/images//e/e/5/ee5efbbe1be1f0cc983dff9469e73bd3_240x180.jpg ; https://im.mashina.kg/tachka/images//4/b/8/4b83f14ec3b5b0ec2cb8ec6e450316d3_240x180.jpg ; https://im.mashina.kg/tachka/images//6/c/a/6caa171b9cc49b0174ce4d016f52800c_240x180.jpg ; https://im.mashina.kg/tachka/images//5/f/4/5f4a37b61908e8364374ac5e8467dd5f_240x180.jpg
BMW 5 Серия,"$43000, 3582330сом","2018г.,3л.,автомат,седан,бензин,рульслева",https://im.mashina.kg/tachka/images//8/a/6/8a6259ead32c1c2875e4c137a9edabff_240x180.jpg ; https://im.mashina.kg/tachka/images//b/6/9/b69909efbe9a07a3d2d16831f98e08f9_240x180.jpg ; https://im.mashina.kg/tachka/images//d/7/7/d77a8bfb1df9a97a67f09fe7209873b7_240x180.jpg ; https://im.mashina.kg/tachka/images//5/e/c/5ec3026825f0143d9fb4832106b867ba_240x180.jpg ; https://im.mashina.kg/tachka/images//e/1/2/e12d8a5aee0506534642af0e18d06193_240x180.jpg
Mazda Demio,"$6000, 499860сом","2005г.,1.3л.,автомат,хэтчбек5дв.,бензин,рульсправа,170000км",https://im.mashina.kg/tachka/images//4/6/6/4667c0a0130c4eddb22f773b372ec8b5_240x180.jpg ; https://im.mashina.kg/tachka/images//2/5/4/254a8719302ed5bd07e4a6ea062a9168_240x180.jpg ; https://im.mashina.kg/tachka/images//b/b/5/bb50661698da0cedbe874d903947920f_240x180.jpg ; https://im.mashina.kg/tachka/images//b/0/a/b0ab6c7c2bde76569fe8b023f3509681_240x180.jpg ; https://im.mashina.kg/tachka/images//5/e/0/5e02f7c29730b6ae284207082c79b6c5_240x180.jpg
Toyota Camry,"$18800, 1566228сом","2016г.,2.5л.,вариатор,седан,гибрид,рульслева,89000км",https://im.mashina.kg/tachka/images//7/3/d/73d3ce91328ca3e89e98dd88204a4e73_240x180.jpg ; https://im.mashina.kg/tachka/images//b/4/9/b497c0c43d2c4c2ee5f35c06125ab336_240x180.jpg ; https://im.mashina.kg/tachka/images//c/6/f/c6f8c4ed32cd70e3b87d5a1446035998_240x180.jpg ; https://im.mashina.kg/tachka/images//d/9/8/d983d7a4ffcfcc4755d589c9596adcf4_240x180.jpg ; https://im.mashina.kg/tachka/images//3/9/b/39ba9c962b070e84a5f4ac1aca6b9fa3_240x180.jpg
Toyota Land Cruiser,"$55000, 4582050сом","2013г.,4.6л.,автомат,внедорожник5дв.,бензин,рульслева",https://im.mashina.kg/tachka/images//6/c/6/6c6e9c17220ab3f40bac6593d4227f94_240x180.jpg ; https://im.mashina.kg/tachka/images//0/7/0/070455f079a9fe969cc5ca76f7dd6b7d_240x180.jpg ; https://im.mashina.kg/tachka/images//c/e/1/ce1844022feb99ffd1e7cfa008d3325d_240x180.jpg ; https://im.mashina.kg/tachka/images//b/8/2/b82d46ac5c422db4aa4c7353906f0a57_240x180.jpg ; https://im.mashina.kg/tachka/images//f/c/2/fc2060f9f4e99a43976703d91cd485c6_240x180.jpg
Toyota Camry,"$37000, 3082470сом","2021г.,2.5л.,автомат,седан,бензин,рульслева,10000км",https://im.mashina.kg/tachka/images//f/4/5/f45e3113bbc671e5a88ba35b43467164_240x180.jpg ; https://im.mashina.kg/tachka/images//b/f/e/bfe9f74ed042d7585596180477fc8fa6_240x180.jpg
